time	EURUSD	GBPUSD	NZDUSD
2022-10-06	144219.53333333333	164776.75	95027.45
2022-10-07	144969.89166666666	165935.24166666667	95468.76666666666
2022-10-10	145310.7	167758.18333333332	96055.78333333334
2022-10-11	146316.35	170442.575	96702.85
2022-10-12	147043.09166666667	173216.29166666666	97302.25
2022-10-13	148037.15833333333	176291.1	97945.96666666666
2022-10-14	149135.84166666667	179185.95	98730.9
2022-10-17	149987.1	181233.825	99102.10833333334
2022-10-18	150977.425	183665.13333333333	99551.89166666666
2022-10-19	151507.91666666666	185601.7	99720.53333333334
2022-10-20	152044.59166666667	188397.99166666667	100290.01666666666
2022-10-21	153221.20833333334	191683.45	100767.275
2022-10-24	154386.90833333333	194840.0	101433.23333333334
2022-10-25	154830.28333333333	196697.26666666666	101679.74166666667
2022-10-26	155282.45	198908.96666666667	101851.8
2022-10-27	155822.71666666667	201429.03333333333	102012.1
2022-10-28	156651.40833333333	203899.61666666667	102461.575
2022-10-31	157136.46666666667	205231.575	102597.74166666667
2022-11-01	157649.66666666666	206769.65833333333	103075.81666666667
2022-11-02	158477.4	209077.15	103602.975
2022-11-03	158929.5	210890.18333333332	103745.99166666667
2022-11-04	159946.49166666667	213354.38333333333	104322.43333333333
2022-11-07	160761.59166666667	215199.50833333333	104643.275
2022-11-08	161159.75	216476.41666666666	105283.3
2022-11-09	161971.475	218653.61666666667	105326.58333333333
2022-11-10	163434.425	221562.35	105738.25833333333
2022-11-11	164864.71666666667	224027.225	106281.625
2022-11-14	165917.95	224858.36666666667	106866.26666666666
2022-11-15	167023.36666666667	225646.0	107470.925
2022-11-16	167903.58333333334	226185.33333333334	108591.89166666666
2022-11-17	168650.15833333333	226777.51666666666	108900.03333333334
2022-11-18	169162.63333333333	227226.6	108893.1
2022-11-21	169775.14166666666	227576.525	109330.96666666666
2022-11-22	169975.53333333333	227346.375	109752.1
2022-11-23	170443.75	227466.475	110042.05
2022-11-24	170151.975	226925.75	110387.85833333334
2022-11-25	170069.75	226706.8	110714.86666666667
2022-11-28	170173.09166666667	225861.7	110564.95
2022-11-29	170191.55	224706.33333333334	110468.44166666667
2022-11-30	169750.63333333333	223123.98333333334	110169.5
2022-12-01	169706.04166666666	221839.7	110192.5
2022-12-02	169749.0	220974.24166666667	109960.90833333334
2022-12-05	170266.25833333333	220910.55833333332	110104.35833333334
2022-12-06	170579.10833333334	220839.58333333334	110302.36666666667
2022-12-07	170749.6	220578.75	110447.54166666667
2022-12-08	170432.23333333334	219853.775	110399.45
2022-12-09	170663.825	219881.48333333334	110552.23333333334
2022-12-12	170694.55	219673.225	110436.09166666666
2022-12-13	171056.075	220046.06666666668	111315.06666666667
2022-12-14	171410.61666666667	220177.725	111977.54166666667
2022-12-15	171606.64166666666	220318.50833333333	112017.48333333334
2022-12-16	171477.05	220234.10833333334	111972.45833333333
2022-12-19	171927.48333333334	220553.04166666666	112040.58333333333
2022-12-20	172206.875	220814.36666666667	112351.175
2022-12-21	171693.625	219948.49166666667	111982.64166666666
2022-12-22	171556.23333333334	219573.05	111941.075
2022-12-23	171283.04166666666	219142.25833333333	111889.24166666667
2022-12-26	170374.0	217976.35	111242.91666666667
2022-12-27	169753.3	217265.63333333333	110960.74166666667
2022-12-28	168997.875	216087.425	110431.475
2022-12-29	168230.89166666666	214853.70833333334	109929.5
2022-12-30	168106.88333333333	214218.05	109640.10833333334
2023-01-02	167142.95	213234.29166666666	108841.21666666666
2023-01-03	167172.80833333332	213179.75	108958.11666666667
2023-01-04	167318.73333333334	213084.76666666666	109176.2
2023-01-05	166944.36666666667	212369.14166666666	109117.325
2023-01-06	166738.28333333333	212190.65833333333	109286.05
2023-01-09	166668.83333333334	212109.73333333334	109490.04166666667
2023-01-10	166731.88333333333	212014.875	109748.76666666666
2023-01-11	166373.23333333334	211404.775	109628.3
2023-01-12	166456.73333333334	211200.56666666668	109563.46666666666
2023-01-13	166283.58333333334	210617.2	109468.56666666667
2023-01-16	165764.25833333333	210129.64166666666	109297.06666666667
2023-01-17	165498.98333333334	209735.04166666666	109322.59166666666
2023-01-18	165863.375	209683.13333333333	109749.05833333333
2023-01-19	165897.05	209245.525	110082.48333333334
2023-01-20	165701.46666666667	208695.54166666666	110210.99166666667
2023-01-23	165852.75833333333	208591.11666666667	110523.0
2023-01-24	166051.875	208580.05833333332	110852.83333333333
2023-01-25	165872.76666666666	208199.0	111061.95833333333
2023-01-26	165675.30833333332	207878.38333333333	110800.16666666667
2023-01-27	165537.85833333334	207503.83333333334	110863.56666666667
2023-01-30	165576.7	207467.8	111048.33333333333
2023-01-31	165611.00833333333	207270.45	111318.44166666667
2023-02-01	165514.33333333334	207100.26666666666	111483.2
2023-02-02	165736.35833333334	207309.45833333334	111989.26666666666
2023-02-03	166021.41666666666	207428.24166666667	112541.175
2023-02-06	165989.575	207363.8	112853.06666666667
2023-02-07	165980.8	207163.21666666667	113290.69166666667
2023-02-08	165782.13333333333	206721.68333333332	113601.4
2023-02-09	165657.51666666666	206338.15833333333	113754.375
2023-02-10	165357.6	205526.83333333334	113908.28333333334
2023-02-13	165048.24166666667	205457.58333333334	113952.7
2023-02-14	165262.38333333333	205744.51666666666	114480.0
2023-02-15	165099.88333333333	205746.575	114691.94166666667
2023-02-16	164972.28333333333	205683.31666666668	114997.55
2023-02-17	164610.24166666667	205662.54166666666	115181.85833333334
2023-02-20	164187.275	205520.975	115231.625
2023-02-21	163682.5	205460.275	115466.43333333333
2023-02-22	163449.35833333334	205425.60833333334	115588.83333333333
2023-02-23	162812.025	204937.54166666666	115637.51666666666
2023-02-24	162688.65833333333	204979.20833333334	115862.99166666667
2023-02-27	162290.99166666667	204919.275	116018.9
2023-02-28	161819.10833333334	204707.8	115956.38333333333
2023-03-01	161365.525	204650.80833333332	116180.91666666667
2023-03-02	161350.78333333333	204743.6	116385.88333333333
2023-03-03	161069.74166666667	204509.94166666668	116440.325
2023-03-06	160958.04166666666	204620.69166666668	116522.94166666667
2023-03-07	160899.725	204693.525	116918.425
2023-03-08	160271.34166666667	204105.325	116589.59166666666
2023-03-09	159178.775	203225.60833333334	116267.975
2023-03-10	159091.75833333333	203144.05	116172.24166666667
2023-03-13	158758.9	202327.39166666666	116479.7
2023-03-14	158490.2	201786.58333333334	116718.55833333333
2023-03-15	157834.10833333334	201113.31666666668	116882.55
2023-03-16	157180.44166666668	200199.78333333333	116730.4
2023-03-17	155960.01666666666	198754.05	116039.4
2023-03-20	155263.91666666666	197838.49166666667	116049.325
2023-03-21	154244.35	196576.19166666668	115846.05
2023-03-22	153560.16666666666	195637.01666666666	115784.4
2023-03-23	152666.84166666667	194534.24166666667	115634.975
2023-03-24	152070.35	193648.53333333333	115389.68333333333
2023-03-27	151164.9	191585.00833333333	114708.15833333334
2023-03-28	149814.71666666667	188766.83333333334	114067.31666666667
2023-03-29	148540.025	185902.81666666668	113389.1
2023-03-30	146838.65	182611.75833333333	112595.175
2023-03-31	145336.525	179593.45	111824.35833333334
2023-04-03	144397.38333333333	177533.18333333332	111487.075
2023-04-04	143245.425	175166.425	111003.64166666666
2023-04-05	142215.66666666666	173026.55833333332	110758.325
2023-04-06	140892.24166666667	169789.26666666666	109733.84166666666
2023-04-07	138536.275	165682.75	108689.65833333334
2023-04-10	136601.98333333334	162023.525	107597.425
2023-04-11	135454.74166666667	159845.575	106892.525
2023-04-12	134224.4	157172.15833333333	106186.525
2023-04-13	132835.93333333332	154125.65	105360.56666666667
2023-04-14	131730.35	151626.63333333333	104883.675
2023-04-17	131057.80833333333	150140.525	104478.09166666666
2023-04-18	130091.53333333334	148237.50833333333	103788.275
2023-04-19	128971.51666666666	145808.25833333333	102994.24166666667
2023-04-20	127962.11666666667	143389.525	102297.94166666667
2023-04-21	126576.39166666666	140527.075	101320.98333333334
2023-04-24	125396.73333333334	138440.53333333333	100659.11666666667
2023-04-25	124652.34166666666	136815.89166666666	99700.93333333333
2023-04-26	123599.25833333333	134401.04166666666	99246.05
2023-04-27	121989.56666666667	131374.06666666668	98653.25833333333
2023-04-28	120646.29166666667	129039.70833333333	98107.85
2023-05-01	119518.64166666666	127896.96666666666	97414.05
2023-05-02	117927.94166666667	126322.73333333334	96448.70833333333
2023-05-03	116843.15	125212.25833333333	95128.05
2023-05-04	116255.04166666667	124587.125	94768.45
2023-05-05	115603.74166666667	123828.36666666667	94553.56666666667
2023-05-08	114785.825	122921.36666666667	94063.43333333333
2023-05-09	114220.9	122268.60833333334	93436.33333333333
