Date,AAL,AAPL,AMD,AMGN,AMZN,BX,BXP,C,CMCSA,CP,CVX,DHR,DOV,GOOGL,HD,HMC,HON,IBM,INTU,ISRG,JCI,JNJ,LLY,MAR,MCO,MET,MOS,MSFT,NEE,NVDA,ORCL,SCHW,STZ,TRV,UNH,WMT,XOM,^GSPC,^IRX
2007-06-30,28.53678321838379,3.6807050704956055,14.300000190734863,39.193336486816406,3.4205000400543213,11.593744277954102,51.66365051269531,363.94842529296875,10.0921630859375,11.223033905029297,43.26774978637695,15.290131568908691,24.260162353515625,13.048271179199219,25.316984176635742,27.02835464477539,36.24669647216797,57.29039764404297,26.769611358642578,15.418889045715332,36.282630920410156,37.13854217529297,32.99967575073242,33.735652923583984,50.31486511230469,34.94452667236328,29.762386322021484,21.183368682861328,8.534076690673828,0.6315103769302368,15.993613243103027,15.736771583557129,21.403366088867188,35.22066879272461,41.08454132080078,11.084613800048828,45.67155075073242,1503.3499755859375,4.670000076293945
2007-07-31,29.23440933227539,3.9738597869873047,13.539999961853027,38.0946044921875,3.927000045776367,9.51027774810791,47.79887771606445,330.455810546875,9.428205490112305,12.056363105773926,43.791656494140625,15.124072074890137,24.18902015686035,12.73123836517334,23.91440773010254,26.8272647857666,37.038856506347656,60.22976303100586,25.488086700439453,23.623332977294922,14.969520568847656,36.46352767944336,31.942596435546875,32.41712188720703,43.51993179321289,32.635841369628906,28.648780822753906,20.83833122253418,8.682973861694336,0.6995388269424438,15.514867782592773,16.23226547241211,19.331789016723633,33.43001937866211,38.90740203857422,10.58694839477539,46.352169036865234,1455.27001953125,4.809999942779541
2007-08-31,29.177846908569336,4.176532745361328,13.0,35.52140808105469,3.995500087738037,9.16170883178711,50.621578216552734,336.53436279296875,9.363603591918945,11.493742942810059,45.3950309753418,15.727570533752441,23.529172897338867,12.86229419708252,24.80620574951172,24.518421173095703,36.328941345214844,63.742103576660156,24.30445098876953,24.586666107177734,13.978724479675293,37.491519927978516,34.12146759033203,34.65630340576172,37.149436950683594,34.711483001708984,32.05064010620117,20.723834991455078,8.9137544631958,0.782089114189148,16.456146240234375,15.966154098510742,21.315214157104492,33.27201843261719,40.17673110961914,10.10313892364502,46.86542510986328,1473.989990234375,3.990000009536743
2007-09-30,24.746965408325195,4.628627777099609,13.199999809265137,40.1006965637207,4.65749979019165,9.934097290039062,52.910762786865234,335.0268859863281,8.678109169006348,11.500784873962402,48.4055290222168,16.756288528442383,24.267438888549805,14.160881042480469,21.00530433654785,24.999391555786133,38.47697448730469,64.34844207763672,26.96539878845215,25.55555534362793,14.08281421661377,39.863929748535156,33.8715934753418,33.97246170043945,40.83602523803711,37.78972625732422,40.82221603393555,21.25040054321289,9.222796440124512,0.8310073614120483,17.567827224731445,17.41762924194336,21.341655731201172,33.33141326904297,38.90740203857422,10.107769966125488,50.599143981933594,1526.75,3.700000047683716
2007-10-31,26.076229095458984,5.72885799407959,13.079999923706055,41.19234848022461,4.457499980926514,10.072731971740723,55.17183303833008,300.78485107421875,7.554764270782471,11.515509605407715,47.334774017333984,17.355958938598633,21.909757614135742,17.64899253845215,20.40311622619629,28.049360275268555,39.085147857666016,63.43071746826172,28.62959861755371,36.31888961791992,13.075995445251465,39.5423469543457,32.21757888793945,32.12808609008789,35.42363739013672,37.31281280517578,53.239723205566406,26.55217933654785,10.365041732788086,0.8112872838973999,17.989782333374023,18.740087509155273,22.143842697143555,34.56959915161133,39.48583984375,10.469010353088379,50.287559509277344,1549.3800048828125,3.819999933242798
2007-11-30,19.58074378967285,5.495723247528076,9.760000228881836,39.16499710083008,4.5279998779296875,8.841399192810059,50.1201057434082,242.16973876953125,7.371730804443359,10.949389457702637,45.70549011230469,17.588939666748047,22.14023208618164,17.29950714111328,18.64557456970215,25.786245346069336,36.7939567565918,57.65855026245117,26.09324836730957,36.40888977050781,12.74567985534668,41.35736083984375,31.76072120666504,29.30682373046875,30.578218460083008,35.95207214355469,52.74395751953125,24.31683921813965,10.632203102111816,0.7232332825660706,16.3749942779541,19.64554786682129,20.759855270385742,35.1655158996582,44.185577392578125,11.091917037963867,48.92998504638672,1481.1400146484375,3.069999933242798
2007-12-31,13.867728233337402,5.974060535430908,7.5,32.91986083984375,4.631999969482422,8.893643379211426,50.0265007019043,214.0982666015625,6.553445339202881,10.611932754516602,48.600826263427734,17.781343460083008,22.04932975769043,17.26156234741211,17.587942123413086,24.980640411376953,40.01066589355469,59.259239196777344,28.131229400634766,35.88888931274414,12.640508651733398,40.7224006652832,32.02463912963867,26.766407012939453,28.98679542541504,33.775978088378906,71.95752716064453,25.76426887512207,10.330425262451172,0.780101478099823,18.322471618652344,20.64763069152832,20.839189529418945,35.81409454345703,46.756378173828125,11.05584716796875,51.41598892211914,1468.3599853515625,3.140000104904175
2008-01-31,13.0475435256958,4.082435607910156,7.590000152587891,33.026187896728516,3.884999990463257,7.3745269775390625,49.972023010253906,207.2411346435547,6.517556190490723,10.895943641662598,43.35175704956055,15.19135570526123,19.274633407592773,14.08674144744873,20.003509521484375,23.77457046508789,38.38606643676758,58.71653747558594,27.31247901916504,28.22222137451172,12.512989044189453,38.54892349243164,30.824981689453125,28.160335540771484,28.223548889160156,32.27408981323242,69.35660552978516,23.593128204345703,9.807659149169922,0.5638653039932251,16.67523956298828,18.021217346191406,18.423818588256836,32.0196647644043,40.84354019165039,11.802518844604492,47.03116226196289,1378.550048828125,1.8700000047683716
2008-02-29,11.689993858337402,3.7705821990966797,7.210000038146973,32.267696380615234,3.2235000133514404,6.631046772003174,46.953311920166016,174.42979431152344,7.012833118438721,12.015579223632812,45.45246124267578,15.027203559875488,19.950592041015625,11.762166023254395,17.333322525024414,23.066011428833008,37.574554443359375,62.65544891357422,23.636993408203125,31.324443817138672,12.771222114562988,38.079410552978516,30.282201766967773,26.70375633239746,30.91822052001953,31.934240341186523,84.89375305175781,19.761554718017578,9.252360343933105,0.4904870092868805,15.255202293395996,15.886524200439453,16.934049606323242,30.89467430114746,37.3408203125,11.535018920898438,47.956180572509766,1330.6300048828125,1.784999966621399
2008-03-31,8.399823188781738,4.327935695648193,5.889999866485596,29.61652946472168,3.565000057220459,6.502597808837891,50.53166198730469,157.58270263671875,6.964170932769775,10.592802047729492,44.770626068115234,15.41412353515625,20.080358505249023,10.995546340942383,18.426227569580078,21.716726303100586,36.84318161010742,63.359825134277344,24.0374698638916,36.03889083862305,14.090425491333008,39.86783981323242,31.232664108276367,26.907360076904297,28.353914260864258,33.03052520751953,78.25787353515625,20.61884880065918,9.628345489501953,0.45379799604415894,15.871898651123047,15.254634857177734,15.576502799987793,32.0489616394043,27.628032684326172,12.312090873718262,46.616878509521484,1322.699951171875,1.274999976158142
