Date,AAL,AAPL,AMD,AMGN,AMZN,BX,BXP,C,CMCSA,CP,CVX,DHR,DOV,GOOGL,HD,HMC,HON,IBM,INTU,ISRG,JCI,JNJ,LLY,MAR,MCO,MET,MOS,MSFT,NEE,NVDA,ORCL,SCHW,STZ,TRV,UNH,WMT,XOM,^GSPC,^IRX
2007-06-30,28.536785125732422,3.6807048320770264,14.300000190734863,39.1933479309082,3.4205000400543213,11.593741416931152,51.663665771484375,363.948486328125,10.092157363891602,11.223034858703613,43.26774597167969,15.29013442993164,24.26015853881836,13.048271179199219,25.316987991333008,27.02834701538086,36.24667739868164,57.290409088134766,26.769603729248047,15.418889045715332,36.28263473510742,37.138553619384766,32.99966049194336,33.73564910888672,50.31485366821289,34.94451904296875,29.76239585876465,21.183366775512695,8.534074783325195,0.6315104961395264,15.993623733520508,15.736770629882812,21.403371810913086,35.22067642211914,41.084537506103516,11.084615707397461,45.67154312133789,1503.3499755859375,4.670000076293945
2007-07-31,29.234413146972656,3.9738590717315674,13.539999961853027,38.094581604003906,3.927000045776367,9.510272979736328,47.798866271972656,330.4559326171875,9.428207397460938,12.056360244750977,43.791664123535156,15.124068260192871,24.189016342163086,12.73123836517334,23.914411544799805,26.8272647857666,37.03886032104492,60.229801177978516,25.488088607788086,23.623332977294922,14.96951675415039,36.46352767944336,31.942583084106445,32.4171257019043,43.51992416381836,32.635841369628906,28.648778915405273,20.83833885192871,8.682977676391602,0.6995386481285095,15.514867782592773,16.23226547241211,19.331785202026367,33.43000030517578,38.90740203857422,10.586949348449707,46.352149963378906,1455.27001953125,4.809999942779541
2007-08-31,29.177846908569336,4.17653226852417,13.0,35.52139663696289,3.995500087738037,9.161707878112793,50.62158203125,336.5344543457031,9.363606452941895,11.493741989135742,45.395057678222656,15.727572441101074,23.529172897338867,12.862295150756836,24.80620574951172,24.518415451049805,36.32893753051758,63.74211502075195,24.30445671081543,24.586666107177734,13.978723526000977,37.49152755737305,34.12146759033203,34.65630340576172,37.149436950683594,34.71149444580078,32.050621032714844,20.723833084106445,8.913752555847168,0.7820890545845032,16.45614242553711,15.966160774230957,21.315210342407227,33.272037506103516,40.17674255371094,10.10313606262207,46.86544418334961,1473.989990234375,3.990000009536743
2007-09-30,24.746963500976562,4.628628253936768,13.199999809265137,40.10069274902344,4.65749979019165,9.93409538269043,52.91075897216797,335.0269775390625,8.67811107635498,11.500783920288086,48.405517578125,16.75629234313965,24.267436981201172,14.160881042480469,21.00531005859375,24.999387741088867,38.47697067260742,64.34844207763672,26.96539878845215,25.55555534362793,14.082818031311035,39.86393356323242,33.87158966064453,33.97246170043945,40.836036682128906,37.78971481323242,40.822235107421875,21.250396728515625,9.222794532775879,0.8310075402259827,17.56782341003418,17.417633056640625,21.34166145324707,33.331417083740234,38.90740203857422,10.107773780822754,50.59913635253906,1526.75,3.700000047683716
2007-10-31,26.07622528076172,5.728860855102539,13.079999923706055,41.192344665527344,4.457499980926514,10.072731971740723,55.17181396484375,300.78497314453125,7.554767608642578,11.515508651733398,47.33476638793945,17.35595703125,21.909761428833008,17.648990631103516,20.40312385559082,28.049375534057617,39.085140228271484,63.43074417114258,28.629594802856445,36.31888961791992,13.0759916305542,39.542354583740234,32.217567443847656,32.12809371948242,35.42362976074219,37.31282043457031,53.23973846435547,26.55218505859375,10.36504077911377,0.8112870454788208,17.989778518676758,18.74008560180664,22.143848419189453,34.5695915222168,39.485843658447266,10.469008445739746,50.287574768066406,1549.3800048828125,3.819999933242798
2007-11-30,19.580739974975586,5.495724201202393,9.760000228881836,39.164981842041016,4.5279998779296875,8.84139633178711,50.12009048461914,242.16964721679688,7.371730804443359,10.949390411376953,45.705501556396484,17.588937759399414,22.140226364135742,17.29950714111328,18.64556884765625,25.786237716674805,36.79396057128906,57.658531188964844,26.093259811401367,36.40888977050781,12.745680809020996,41.35735321044922,31.760723114013672,29.30681610107422,30.57819938659668,35.95208740234375,52.74395751953125,24.316837310791016,10.632204055786133,0.7232334017753601,16.375001907348633,19.645553588867188,20.759849548339844,35.16551208496094,44.18558120727539,11.091920852661133,48.92998123168945,1481.1400146484375,3.069999933242798
2007-12-31,13.867728233337402,5.974059581756592,7.5,32.919864654541016,4.631999969482422,8.893643379211426,50.02649688720703,214.09829711914062,6.55344820022583,10.611930847167969,48.60085678100586,17.781341552734375,22.049327850341797,17.261560440063477,17.58793830871582,24.980642318725586,40.010658264160156,59.259239196777344,28.131223678588867,35.88888931274414,12.640508651733398,40.722408294677734,32.02463150024414,26.766403198242188,28.986791610717773,33.77598190307617,71.95755004882812,25.764278411865234,10.330429077148438,0.7801014184951782,18.322471618652344,20.647628784179688,20.83919334411621,35.81409454345703,46.75636291503906,11.055845260620117,51.41598129272461,1468.3599853515625,3.140000104904175
2008-01-31,13.047540664672852,4.0824360847473145,7.590000152587891,33.02616882324219,3.884999990463257,7.374527454376221,49.97200393676758,207.24107360839844,6.517553329467773,10.895944595336914,43.351768493652344,15.191353797912598,19.274621963500977,14.086740493774414,20.003511428833008,23.774572372436523,38.38606262207031,58.71656036376953,27.312477111816406,28.22222137451172,12.512988090515137,38.54892349243164,30.824996948242188,28.160327911376953,28.223543167114258,32.27409744262695,69.3565673828125,23.593130111694336,9.807659149169922,0.5638652443885803,16.67523193359375,18.02121925354004,18.423818588256836,32.019676208496094,40.843544006347656,11.80251693725586,47.03116226196289,1378.550048828125,1.8700000047683716
2008-02-29,11.689996719360352,3.7705814838409424,7.210000038146973,32.2676887512207,3.2235000133514404,6.631045818328857,46.95331954956055,174.4297637939453,7.012833595275879,12.015576362609863,45.452449798583984,15.027205467224121,19.950593948364258,11.762166023254395,17.33332633972168,23.066011428833008,37.574554443359375,62.65544509887695,23.636993408203125,31.324443817138672,12.771218299865723,38.079410552978516,30.282194137573242,26.703750610351562,30.91822624206543,31.93424415588379,84.89374542236328,19.761552810668945,9.25235652923584,0.4904870390892029,15.255205154418945,15.8865327835083,16.93404197692871,30.894651412963867,37.340816497802734,11.535017013549805,47.9561767578125,1330.6300048828125,1.784999966621399
2008-03-31,8.399826049804688,4.327934741973877,5.889999866485596,29.616535186767578,3.565000057220459,6.502596855163574,50.531700134277344,157.58270263671875,6.964168071746826,10.592799186706543,44.770633697509766,15.414119720458984,20.08036231994629,10.995545387268066,18.42622184753418,21.716724395751953,36.84317398071289,63.35982131958008,24.037479400634766,36.03889083862305,14.090426445007324,39.86783981323242,31.232681274414062,26.90736198425293,28.353906631469727,33.03052520751953,78.25782775878906,20.618858337402344,9.628345489501953,0.45379793643951416,15.871908187866211,15.254631996154785,15.576501846313477,32.0489616394043,27.628021240234375,12.312088966369629,46.61687088012695,1322.699951171875,1.274999976158142
